No,Date,Price,Open,High,Low,Vol.,Change %
1013,9/15/2021,"15,161.53","15,071.34","15,174.38","14,984.68",987.75M,0.82%
1014,9/16/2021,"15,181.92","15,120.09","15,205.50","15,047.14",833.07M,0.13%
1015,9/17/2021,"15,043.97","15,163.36","15,166.56","14,998.73",2.75B,-0.91%
1016,9/20/2021,"14,713.90","14,758.14","14,841.82","14,530.07",1.10B,-2.19%
1017,9/21/2021,"14,746.40","14,803.36","14,847.03","14,696.47",873.64M,0.22%
1018,9/22/2021,"14,896.85","14,800.59","14,950.12","14,767.01",831.12M,1.02%
1019,9/23/2021,"15,052.24","14,960.00","15,085.44","14,932.51",788.23M,1.04%
1020,9/24/2021,"15,047.70","14,961.62","15,067.56","14,946.57",773.44M,-0.03%
1021,9/27/2021,"14,969.97","14,954.17","15,003.16","14,864.96",894.61M,-0.52%
1022,9/28/2021,"14,546.68","14,787.21","14,817.74","14,539.88",996.26M,-2.83%
1023,9/29/2021,"14,512.44","14,614.88","14,676.62","14,493.67",980.97M,-0.24%
1024,9/30/2021,"14,448.58","14,582.60","14,632.36","14,444.30",1.14B,-0.44%
1025,10/1/2021,"14,566.70","14,494.93","14,606.82","14,324.01",913.08M,0.82%
1026,10/4/2021,"14,255.49","14,493.12","14,499.74","14,181.69",920.43M,-2.14%
1027,10/5/2021,"14,433.83","14,312.86","14,508.65","14,299.78",805.23M,1.25%
1028,10/6/2021,"14,501.91","14,289.45","14,509.55","14,259.07",817.53M,0.47%
1029,10/7/2021,"14,654.02","14,631.80","14,755.72","14,615.14",798.16M,1.05%
1030,10/8/2021,"14,579.54","14,694.72","14,699.91","14,569.68",670.94M,-0.51%
1031,10/11/2021,"14,486.20","14,540.08","14,665.99","14,482.62",664.49M,-0.64%
1032,10/12/2021,"14,465.92","14,539.09","14,552.71","14,441.60",768.40M,-0.14%
1033,10/13/2021,"14,571.63","14,537.17","14,589.28","14,471.88",760.21M,0.73%
1034,10/14/2021,"14,823.43","14,717.50","14,827.55","14,699.53",815.46M,1.73%
1035,10/15/2021,"14,897.34","14,891.24","14,904.98","14,847.96",924.17M,0.50%
1036,10/18/2021,"15,021.81","14,839.74","15,026.68","14,833.28",798.37M,0.84%
1037,10/19/2021,"15,129.09","15,073.13","15,137.85","15,049.73",788.58M,0.71%
1038,10/20/2021,"15,121.68","15,160.00","15,178.39","15,071.15",743.43M,-0.05%
1039,10/21/2021,"15,215.70","15,104.80","15,222.25","15,094.14",891.24M,0.62%
1040,10/22/2021,"15,090.20","15,158.07","15,193.01","15,021.02",1.10B,-0.82%
1041,10/25/2021,"15,226.71","15,142.92","15,259.63","15,070.75",1.09B,0.90%
1042,10/26/2021,"15,235.71","15,317.50","15,384.00","15,198.23",1.22B,0.06%
1043,10/27/2021,"15,235.84","15,276.00","15,364.54","15,235.84",1.09B,0.00%
1044,10/28/2021,"15,448.12","15,304.74","15,452.30","15,290.31",1.06B,1.39%
1045,10/29/2021,"15,498.39","15,323.29","15,504.12","15,323.29",1.06B,0.33%
1046,11/1/2021,"15,595.92","15,541.26","15,598.95","15,470.82",1.00B,0.63%
1047,11/2/2021,"15,649.60","15,583.99","15,656.60","15,569.27",997.88M,0.34%
1048,11/3/2021,"15,811.58","15,658.52","15,821.58","15,616.44",1.00B,1.04%
1049,11/4/2021,"15,940.31","15,849.74","15,966.09","15,827.66",1.02B,0.81%
1050,11/5/2021,"15,971.59","16,003.56","16,053.39","15,900.78",1.06B,0.20%
1051,11/8/2021,"15,982.36","15,995.72","16,038.23","15,961.80",1.06B,0.07%
1052,11/9/2021,"15,886.54","16,024.13","16,035.21","15,836.68",1.03B,-0.60%
1053,11/10/2021,"15,622.71","15,753.84","15,867.24","15,543.68",989.63M,-1.66%
1054,11/11/2021,"15,704.28","15,752.08","15,768.03","15,695.77",867.11M,0.52%
1055,11/12/2021,"15,860.96","15,752.62","15,874.58","15,705.38",988.93M,1.00%
1056,11/15/2021,"15,853.85","15,894.82","15,918.45","15,778.31",952.14M,-0.04%
1057,11/16/2021,"15,973.86","15,840.32","15,989.61","15,825.00",1.01B,0.76%
1058,11/17/2021,"15,921.57","15,973.62","15,998.57","15,909.39",966.81M,-0.33%
1059,11/18/2021,"15,993.71","15,973.39","16,010.88","15,848.83",1.08B,0.45%
1060,11/19/2021,"16,057.44","16,042.16","16,121.12","16,017.23",1.02B,0.40%
1061,11/22/2021,"15,854.76","16,120.92","16,212.23","15,851.04",1.13B,-1.26%
1062,11/23/2021,"15,775.14","15,809.50","15,895.86","15,601.46",1.07B,-0.50%
1063,11/24/2021,"15,845.23","15,677.88","15,848.56","15,591.36",842.33M,0.44%
